DRI Number,Project info,County,Initial Info Form Submision Date,Current Status,Data Center?
1056,"[['Name of Proposed Project:', '.375 MGD Waste Treatment Plant'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '83.41'], ['Brief Description of Project:', 'The City of Lula currently has a wastewater treatment system that consists of an 8.8 million gallon facultative treatment pond. A current treatment capacity of 82k GPD. Bacteria in the pond oxidize the waste material to sludge that settles to the bottom of the pond. There is no electricity associated with the pond; wastewater flows in by gravity and flows out by gravity. There is no mechanical aeration. Effluent from the pond discharges Hagens Creek east of S.R. 365 \r\nThe City currently is under a compliance letter regarding reduction of pollutants in discharge. The effluent from the pond does not meet all of the recently imposed Georgia Environmental Protection Department (EPD) requirements specifically the requirements for Fecal Coliform and phosphorus removal. EPD is allowing continued use of the pond in its current configuration for a limited time so that the City of Lula can develop a plan that will employ technology that will allow the City to meet the new requirements. The City has decided to phase out the old pond and replace it with a new 0.375-MGD wastewater treatment plant that will meet all EPD requirements and the City has committed to invest in a facility that has the capability to handle the additional flows from the anticipated growth in the Lula / Hall service area. \r\nAppendix B from the Plans of the Metropolitan North Georgia Water Planning shows the ""Wastewater Implementation Plan"" for Hall County. And the expansion of the Lula facility  up to 4.0 MGD (until 2030) was clearly intended by the ""Plan."" Additionally it should be noted on the table 4-2 from the Plan that N.E. Hall County has been allocated 1.8 MGD. Since the approved Lula service delivery area will include a substantial portion of N.E. Hall County it is Lula\'s and Hall County\'s intention to expand the proposed Lula treatment facility over time to meet the increasing demands Lula/ N. E.  Hall County up to a maximum of 1.125 MGD (thereby leaving 0.675 MGD) capacity for other northeast Hall County service areas.'], ['Name of Proposed Project:', '.375 MGD Waste Treatment Plant'], ['DRI ID Number:', '1056'], ['Developer/Applicant:', 'City of Lula'], ['Telephone:', '770-869-3801'], ['Email(s):', 'bergins@alltel.net'], ['Estimated Value at Build-Out:', '6.2 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'N/A'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Lula'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.001 MGD plus reuse'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City Of Lula'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'Not applicable'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Hall,2/21/2006,Completed,TBD
1055,"[['Name of Proposed Project:', 'South Transit Distribution Center'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'NR'], ['Brief Description of Project:', '5100000 s.f. of bulk distribution'], ['Name of Proposed Project:', 'South Transit Distribution Center'], ['DRI ID Number:', '1055'], ['Developer/Applicant:', 'Gary J. Minor'], ['Telephone:', '770-866-1117'], ['Email(s):', 'GMinor@idi.com'], ['Estimated Value at Build-Out:', '150,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '270,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Coweta Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.080'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Palmetto'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.080'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,2/21/2006,Completed,TBD
1054,"[['Name of Proposed Project:', '1163 West Peachtree Street'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', '405 Condo Units;\r\n28790 sf Retail'], ['Name of Proposed Project:', '1163 West Peachtree Street'], ['DRI ID Number:', '1054'], ['Developer/Applicant:', 'Novare Group'], ['Telephone:', '404-815-1234'], ['Email(s):', 'jhicks@novaregroup.com; msmith@novaregroup.com'], ['Estimated Value at Build-Out:', '$60 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$1 Million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Atlanta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.5 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'RM Clayton'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.1'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,2/21/2006,Completed,TBD
1053,"[['Name of Proposed Project:', 'Winder Retail Center'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', '447850 s.f. shop & 6 out parcels'], ['Name of Proposed Project:', 'Winder Retail Center'], ['DRI ID Number:', '1053'], ['Developer/Applicant:', 'Faison'], ['Telephone:', ''], ['Email(s):', ''], ['Estimated Value at Build-Out:', ''], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', ''], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Winder Water Dept.'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.05 MGD(50,000 GPD)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Barrow County Public Works'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.05MGD (50,000 GPD)'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Barrow,2/21/2006,Completed,TBD
1052,"[['Name of Proposed Project:', 'Offices at Prospect Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', '1200000 square feet of office 250 room hotel with 45000 SF of ancillary retail with 13600 square feet of restaurant.'], ['Name of Proposed Project:', 'Offices at Prospect Park'], ['DRI ID Number:', '1052'], ['Developer/Applicant:', 'Barry Real Estate Companies'], ['Telephone:', '404-601-0880'], ['Email(s):', 'bcampbell@barrycompanies.com'], ['Estimated Value at Build-Out:', '$340,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$4,500,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Alpharetta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.340 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Fulton County - Big Creek Wastewater Treatment Plant'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.296 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,2/17/2006,Completed,TBD
1051,"[['Name of Proposed Project:', 'Sinclair Water Authority Water Treatment Plant'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', 'A joint venture between Baldwin and Putnam Counties to construct a water plant to provide water for both the Bawin County Water System and the Putnam WAter Resorces Water System.  A withdrawal permit from EPD has been issued for 6 MGD.'], ['Name of Proposed Project:', 'Sinclair Water Authority Water Treatment Plant'], ['DRI ID Number:', '1051'], ['Developer/Applicant:', 'Sinclair Water Authority'], ['Telephone:', '(706) 485-6492'], ['Email(s):', 'vincentciampa@bellsouth.net'], ['Estimated Value at Build-Out:', '$12,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'no stdy has been conducted to determine the impact to property values'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Putnam Water Resources'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Individual Septic Tanks'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.05'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Putnam,2/17/2006,Completed,TBD
1049,"[['Name of Proposed Project:', 'South Putnam Waterline Extensions'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', 'The design permitting and construction of approximately 100 miles of waterline to service the Lake Sinclair and soutern areas of Putnam County.  Initially estimated that 2500 customers will be utilizing these waterlines.  Additionally a line will be extended to the City of Eatonton such that once the Sinclair Water Authority plant is on-line a back-up source of water is available.'], ['Name of Proposed Project:', 'South Putnam Waterline Extensions'], ['DRI ID Number:', '1049'], ['Developer/Applicant:', 'Putnam County Water Resouces'], ['Telephone:', '(706) 485-5252'], ['Email(s):', 'rhowell@putnamcountyga.us'], ['Estimated Value at Build-Out:', '$21,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'an increase in propery vaues may be realized but to what extent a study has not been conducted to ascertain this.'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Putnam Water Resources initially - Sinclair Water Authority in 2008'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '1.5 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Individual Septic Tanks'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.5 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Putnam,2/17/2006,Completed,TBD
1048,"[['Name of Proposed Project:', 'Braselton WRF Expansion'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '34.09908'], ['Brief Description of Project:', 'The Braselton WRF is being upgraded to treat 3.0 MGD (from 1.27 MGD).  Effluent will continue to be of reuse quality.  2.0 MGD will be discharged 0.51 MGD will be land applied and the remainder of the effluent (up to 0.49 MGD) will be routed to reuse.'], ['Name of Proposed Project:', 'Braselton WRF Expansion'], ['DRI ID Number:', '1048'], ['Developer/Applicant:', 'Town of Braselton'], ['Telephone:', '706-654-3915'], ['Email(s):', 'jscott@braselton.net'], ['Estimated Value at Build-Out:', '$ 8M'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'N/A'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Town of Braselton'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '<0.05'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Town of Braselton'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '1.73'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Jackson,2/17/2006,Completed,TBD
1046,"[['Name of Proposed Project:', 'McDaniel Glenn'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', '297 single family; 833 multi-family; 588 units demolished'], ['Name of Proposed Project:', 'McDaniel Glenn'], ['DRI ID Number:', '1046'], ['Developer/Applicant:', 'McDaniel Glenn Revitalization, LLC c/o Columbia Re'], ['Telephone:', '404-419-1437'], ['Email(s):', 'aaskew@columbiares.com'], ['Estimated Value at Build-Out:', '$170,975,630'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$1,197,658'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Atlanta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '~ 1.75 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Atlanta'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.23 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,2/16/2006,Completed,TBD
1044,"[['Name of Proposed Project:', 'Timberland Estates'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', '100 additional lots'], ['Name of Proposed Project:', 'Timberland Estates'], ['DRI ID Number:', '1044'], ['Developer/Applicant:', 'Synergy Holdings, Inc.'], ['Telephone:', '912-550-3272'], ['Email(s):', 'pilkingtonconsulting@yahoo.com'], ['Estimated Value at Build-Out:', '$20 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$750,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Camden County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.4 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Camden County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.3 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Camden,2/14/2006,Completed,TBD
1043,"[['Name of Proposed Project:', 'Big Indian Creek Development'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '32 degrees, 26 minutes, 11 seconds North'], ['Brief Description of Project:', 'This is a 1098.13 acre residential development. It will have an approximate total of 3000 single family lots. Phase One will consist of 1008 detached single-family homes on 265.50 acres.'], ['Name of Proposed Project:', 'Big Indian Creek Development'], ['DRI ID Number:', '1043'], ['Developer/Applicant:', 'Georgia Sod, LLC'], ['Telephone:', '404-965-3680'], ['Email(s):', ''], ['Estimated Value at Build-Out:', '450 million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '2.61 million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Perry'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.711'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Perry'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.711'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Houston,2/14/2006,Withdrawn,TBD
1042,"[['Name of Proposed Project:', 'The Piazza at Paces'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', '337000 sf office; 53000 sf retail/restaurant; 108000 sf residential (60 units x 1800)'], ['Name of Proposed Project:', 'The Piazza at Paces'], ['DRI ID Number:', '1042'], ['Developer/Applicant:', 'The Piazza at Paces, LLC'], ['Telephone:', '678-553-3900'], ['Email(s):', 'pbailey@ronusproperties.com'], ['Estimated Value at Build-Out:', '$137,500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$923,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Atlanta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.140 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Atlanta'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.112 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,2/14/2006,Completed,TBD
1041,"[['Name of Proposed Project:', ""Hawk's Ridge""], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ""N32 53.501'""], ['Brief Description of Project:', 'Hawks Ridge Residential Development in Jones County 480 Lots\t\r\nHawks Nest 460 Lots is Bibb County for a total of 940 Lots.'], ['Name of Proposed Project:', ""Hawk's Ridge""], ['DRI ID Number:', '1041'], ['Developer/Applicant:', 'Triad Investments/ PZDM, LLC.'], ['Telephone:', '478-750-9262'], ['Email(s):', 'wendy@pzdm.net'], ['Estimated Value at Build-Out:', '185,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', ''], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Macon Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.2817 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.405 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Jones,2/13/2006,Completed,TBD
1040,"[['Name of Proposed Project:', 'Belford'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Latitude: 32-09-19'], ['Brief Description of Project:', 'Mixed use planned unit development with single-family residential multi-family residential and commercial uses.\r\nCommercial: 196900 sq.ft. Multi-family Residential: 784 units Single Family Residential 1426 units. Site Area: 735.6 acres. Upland Area: 553.2 acres Wetland Area: 182.5 acres.'], ['Name of Proposed Project:', 'Belford'], ['DRI ID Number:', '1040'], ['Developer/Applicant:', 'Belford Savannah, LLC / Mr. Paul Scott'], ['Telephone:', '912-272-7979'], ['Email(s):', 'ps31416@aol.com'], ['Estimated Value at Build-Out:', '$430,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$7,272,848.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'city of Savannah'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.86 - MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Savannah'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.86 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Chatham,2/12/2006,Completed,TBD
1039,"[['Name of Proposed Project:', 'SweetBay'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ""N 32° 46.81'""], ['Brief Description of Project:', 'The project will contain 314 housing units an amenities center for the neighborhood a daycare center 30000 square feet of professional office space an assisted living facilityand a 27 acre neighborhood shopping center with 3 outparcels.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Harris,2/9/2006,DRI Determination Made,TBD
1038,"[['Name of Proposed Project:', 'HR Thompson Estate'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', 'Single-family subdivision'], ['Name of Proposed Project:', 'HR Thompson Estate'], ['DRI ID Number:', '1038'], ['Developer/Applicant:', 'John Stell'], ['Telephone:', '770-867-7431'], ['Email(s):', 'jestell@rssmpc.com'], ['Estimated Value at Build-Out:', '85 million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '2 million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Winder'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.13'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Barrow County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.13'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Barrow,2/9/2006,Completed,TBD
1037,"[['Name of Proposed Project:', '115 Acre Jackson County Tract City of Jefferson'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'N34d10\'10""'], ['Brief Description of Project:', '1350000 SF warehouse distribution center on Toy Wright Road'], ['Name of Proposed Project:', '115 Acre Jackson County Tract City of Jefferson'], ['DRI ID Number:', '1037'], ['Developer/Applicant:', 'Ackerman & Company'], ['Telephone:', '770-913-3900'], ['Email(s):', 'mmartin@ackermanco.net'], ['Estimated Value at Build-Out:', '$43,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$3,440,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Jefferson'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.04'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Jackson County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.04'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Jackson,2/6/2006,Completed,TBD
1036,"[['Name of Proposed Project:', 'Serenbe'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', ''], ['Brief Description of Project:', '344 residential units 121950 retail on 300.59 acres'], ['Name of Proposed Project:', 'Serenbe'], ['DRI ID Number:', '1036'], ['Developer/Applicant:', 'Serenbe Dev. Corp/ Steve Nygren'], ['Telephone:', '404-957-0082'], ['Email(s):', 'sdnygren@mindspring.com'], ['Estimated Value at Build-Out:', ''], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', ''], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Atlanta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.25 mgd'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'on site - private'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.25mgd'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,2/6/2006,Completed,TBD
1035,"[['Name of Proposed Project:', 'Universal Site, Adairsville, Ga'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'N34degrees22\'40""'], ['Brief Description of Project:', '1501500 square ft.Distributiion center on Ga. Hwy. #140'], ['Name of Proposed Project:', 'Universal Site, Adairsville, Ga'], ['DRI ID Number:', '1035'], ['Developer/Applicant:', 'Transwestern  Commercial Services'], ['Telephone:', '770-350-8841'], ['Email(s):', 'www.transwestern.net'], ['Estimated Value at Build-Out:', '$30,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', ''], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Adairsville'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.05 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Adairsville'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.05'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bartow,2/6/2006,Completed,TBD
1033,"[['Name of Proposed Project:', 'Buford Jubilee'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'North 34.09193 degrees'], ['Brief Description of Project:', 'Retail/Entertainment:222020 SF Offices:344420 SF Residential: 141 units (80430 SF)'], ['Name of Proposed Project:', 'Buford Jubilee'], ['DRI ID Number:', '1033'], ['Developer/Applicant:', 'CTL & Associates, Inc.'], ['Telephone:', '770-318-3100'], ['Email(s):', 'lago@bellsouth.net'], ['Estimated Value at Build-Out:', '142,146,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', ''], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Buford'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.195'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Buford'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.164'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Gwinnett,2/2/2006,Completed,TBD
